load,duration,system,type,countTh,cpuTh,methodTimeTh,memoryUsageTh,heapTh,numMsgs,option,foundAP,time
25,3,openmrs,CTH,20,10,-1,-1,-1,-1,max,1,14
25,3,openmrs,CTH,20,10,-1,-1,-1,-1,average,0,13
25,3,openmrs,CTH,20,15,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,15,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,15,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,20,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,20,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,20,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,25,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,25,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,25,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,30,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,30,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,30,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,35,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,35,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,35,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,40,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,40,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,40,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,45,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,45,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,45,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,50,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,50,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,50,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,20,55,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,20,55,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,20,55,-1,-1,-1,-1,average,0,0
